ANTdriftrate,Percdriftrate,LearningAcc,SymSpn
0.380984893,0.15902444,76.25,22
0.160143536,0.118838558,66.25,22
0.328420567,0.15056632,68.75,37
0.267063272,0.08255333,66.25,17
0.313670222,0.214177202,82.5,36
0.232314419,0.135981688,63.75,9
0.201085741,0.128824128,83.75,30
0.229431784,0.137943203,72.5,36
0.313354551,0.122517033,48.75,35
0.16124731,0.042262759,55,19
0.203908756,0.103087011,32.5,19
0.321729897,0.067267874,40,24
0.227831752,0.069928449,63.75,22
0.295950407,0.098287325,60,21
0.287481356,0.131741872,77.5,36
0.288341401,0.062204708,47.5,16
0.295938567,0.07421707,83.75,39
0.225947589,0.07738409,78.75,25
0.261699599,0.110548494,82.5,29
0.272882981,0.075555227,76.25,16
0.228608901,0.022016609,65,36
0.374541041,0.04731913,83.75,35
0.408217437,0.08232946,85,23
0.220871062,0.088784651,55,18
0.348222192,0.071983629,70,26
0.319954207,0.142764821,78.75,31
0.258614845,0.128283054,77.5,26
0.228331515,-0.006523077,78.75,25
0.216948755,0.082518599,82.5,30
0.298850737,0.064992914,46.25,22
0.428038268,0.086242389,68.75,27
0.339962556,0.08641731,75,24
0.31673579,0.073462336,76.25,13
0.315665271,0.138280762,73.75,21
0.326898512,0.141616192,67.5,16
0.274729681,0.122153933,81.25,10
0.327975313,0.104000165,85,41
0.277495251,0.085350239,72.5,30
0.313688001,0.12229736,73.75,5
0.244446656,-0.025314169,67.5,31
0.279841877,0.131095218,80,29
0.340741138,0.073921188,78.75,36
0.3132791,0.095736147,83.75,17
0.29662451,0.120039202,82.5,36
0.252494883,0.140379725,67.5,29
0.339500682,0.128254369,80,26
0.275598899,0.128864936,78.75,35
0.246453013,0.067122186,73.75,27
0.188376596,0.120242645,38.75,38
